"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"19/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"18/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"17/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"16/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"15/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"12/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"10/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"09/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"08/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"05/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"04/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"03/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"02/04/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"28/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","1,200.00","24.00"
"27/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"26/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"25/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"22/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","40.00","0.80"
"21/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","38.00","0.76"
"20/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"19/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"18/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"15/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"14/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","5,400.00","108.00"
"13/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"12/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"11/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"08/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"07/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","790.00","15.80"
"05/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","8,250.00","165.00"
"04/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","800.00","16.00"
"01/03/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"29/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"28/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","400.00","8.00"
"27/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","5,452.00","109.04"
"26/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"23/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"22/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"21/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"20/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"19/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"16/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"15/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","20,124.00","402.48"
"14/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.02","100.00","2.00"
"13/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.02","10.00","0.20"
"12/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.02","3,450.00","69.00"
"09/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.02","0.00","0.00"
"08/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"07/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"06/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","5.00","0.10"
"05/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"02/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"01/02/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"31/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"30/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"29/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","67,198.00","1,343.96"
"26/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"25/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"24/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"23/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","600.00","12.00"
"22/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"19/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"18/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","1,600.00","32.00"
"17/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"16/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"15/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"12/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"11/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","2,000.00","40.00"
"10/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"05/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","1,600.00","32.00"
"04/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"03/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","16,340.00","326.80"
"02/01/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","17,285.00","345.70"
"29/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"28/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"27/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"22/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"21/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","623.00","12.46"
"20/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"19/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"18/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"15/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","5,000.00","100.00"
"14/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"13/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"12/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"11/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","5,755.00","115.10"
"08/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"07/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"06/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","5,000.00","100.00"
"05/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"04/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"30/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"29/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","300.00","6.00"
"28/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"27/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"24/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"23/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"22/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"21/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"20/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"17/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"16/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"15/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","1,920.00","38.40"
"14/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"13/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"10/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"09/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"08/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"07/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","1,320.00","26.40"
"06/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"03/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"02/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"01/11/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"31/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"30/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","680.00","13.60"
"27/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"26/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","2,726.00","54.52"
"25/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"24/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","120.00","2.40"
"23/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"20/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"19/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"18/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"17/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"16/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"13/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"12/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"11/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","1,000.00","20.00"
"10/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"09/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"06/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"05/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"04/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"03/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","7,200.00","144.00"
"02/10/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"29/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"28/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"27/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"26/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"25/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","8,080.00","161.60"
"22/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"20/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"19/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"18/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"15/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"14/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","10.00","0.20"
"13/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","3,070.00","61.40"
"12/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"11/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"08/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"07/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"06/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.00","0.00"
"05/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","800.00","16.00"
"04/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","1,369.00","27.38"
"01/09/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","800.00","16.00"
"30/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","110.00","2.20"
"29/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"28/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"25/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","400.00","8.00"
"24/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","50.00","1.00"
"23/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"22/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","105.00","2.10"
"21/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"18/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"16/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","1,500.00","30.00"
"15/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","1,110.00","22.20"
"11/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"10/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"09/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","5.00","0.10"
"08/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","35.00","0.70"
"07/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"02/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","2,479.00","49.58"
"01/08/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"31/07/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"28/07/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","3,000.00","60.00"
